ID    |TERMINO                       |CF    |DF    
81    | -558                         |2     |1     
82    | -57434055                    |2     |2     
83    | -62                          |1     |1     
84    | -640364487                   |2     |2     
85    | -660478335                   |2     |2     
86    | -680876936                   |2     |2     
87    | -701558691                   |2     |2     
88    | -722521979                   |2     |2     
89    | -7344                        |1     |1     
90    | -8                           |2     |1     
91    | -995338651                   |2     |2     
92    | 0                            |136   |122   
93    | 0.1                          |2     |1     
94    | 0.1857                       |1     |1     
95    | 0.2                          |1     |1     
96    | 0.21                         |1     |1     
97    | 0.4                          |2     |2     
98    | 0.5                          |2     |2     
99    | 0.7                          |1     |1     
100   | 0.75                         |3     |3     
101   | 0.8                          |4     |4     
102   | 0.875                        |1     |1     
103   | 00                           |30    |7     
104   | 000000                       |8     |2     
105   | 0001                         |1     |1     
106   | 0002                         |1     |1     
107   | 0003                         |1     |1     
108   | 0004                         |2     |1     
109   | 0005                         |1     |1     
110   | 0006                         |1     |1     
111   | 0008                         |1     |1     
112   | 0009                         |1     |1     
113   | 001                          |1     |1     
114   | 0013                         |1     |1     
115   | 0014                         |2     |1     
116   | 0015                         |1     |1     
117   | 0016                         |2     |2     
118   | 0017                         |1     |1     
119   | 0018                         |1     |1     
120   | 0019                         |2     |1     
121   | 0020                         |2     |1     
122   | 0021                         |2     |1     
123   | 0022                         |1     |1     
124   | 0023                         |1     |1     
125   | 0024                         |1     |1     
126   | 0025                         |2     |1     
127   | 0026                         |1     |1     
128   | 0027                         |1     |1     
129   | 0028                         |1     |1     
130   | 0029                         |1     |1     
131   | 0033                         |1     |1     
132   | 0034                         |1     |1     
133   | 0038                         |1     |1     
134   | 0042                         |1     |1     
135   | 0048                         |1     |1     
136   | 0050                         |1     |1     
137   | 0051                         |1     |1     
138   | 0052                         |1     |1     
139   | 0053                         |1     |1     
140   | 0054                         |3     |3     
141   | 0056                         |2     |2     
142   | 0057                         |1     |1     
143   | 0060                         |1     |1     
144   | 0061                         |1     |1     
145   | 006600                       |7     |1     
146   | 006633                       |7     |1     
147   | 0099                         |4     |1     
148   | 009966                       |21    |1     
149   | 01                           |18    |17    
150   | 011                          |2     |2     
151   | 02                           |19    |17    
152   | 0202                         |1     |1     
153   | 0221                         |1     |1     
154   | 02262                        |1     |1     
155   | 02293                        |1     |1     
156   | 02302                        |2     |1     
157   | 02323                        |2     |2     
158   | 02362                        |5     |1     
159   | 024                          |1     |1     
160   | 0246                         |1     |1     
161   | 0264                         |2     |1     
162   | 0266                         |1     |1     
163   | 027                          |1     |1     
164   | 0293                         |1     |1     
165   | 02941                        |1     |1     
166   | 0298                         |1     |1     
167   | 03                           |12    |12    
168   | 03.02                        |2     |2     
169   | 03.05                        |1     |1     
170   | 03.11                        |5     |1     
171   | 03.12                        |1     |1     
172   | 0328                         |1     |1     
173   | 0341                         |3     |3     
174   | 03442                        |14    |1     
175   | 0345                         |2     |1     
176   | 03455                        |1     |1     
177   | 0358                         |1     |1     
178   | 0381                         |1     |1     
179   | 04                           |15    |15    
180   | 0401                         |1     |1     
181   | 0403                         |1     |1     
182   | 0404                         |1     |1     
183   | 0405                         |1     |1     
184   | 0407                         |1     |1     
185   | 0408                         |1     |1     
186   | 0411                         |2     |1     
187   | 0412                         |1     |1     
188   | 0413                         |2     |1     
189   | 0416                         |1     |1     
190   | 0417                         |1     |1     
191   | 0418                         |2     |1     
192   | 0420                         |2     |1     
193   | 0422                         |1     |1     
194   | 0423                         |1     |1     
195   | 0424                         |1     |1     
196   | 0425                         |1     |1     
197   | 0426                         |2     |1     
198   | 0427                         |1     |1     
199   | 043                          |1     |1     
200   | 0430                         |1     |1     
201   | 0431                         |1     |1     
202   | 0432                         |2     |1     
203   | 0433                         |1     |1     
204   | 0434                         |2     |1     
205   | 0436                         |2     |1     
206   | 0437                         |2     |1     
207   | 0441                         |2     |1     
208   | 0442                         |2     |1     
209   | 0450                         |2     |1     
210   | 0451                         |1     |1     
211   | 0452                         |1     |1     
212   | 0454                         |1     |1     
213   | 0458                         |2     |1     
214   | 0459                         |1     |1     
215   | 046                          |1     |1     
216   | 0470                         |3     |3     
217   | 048                          |1     |1     
218   | 049                          |1     |1     
219   | 05                           |7     |6     
220   | 05.04                        |2     |1     
221   | 05.07                        |1     |1     
222   | 050                          |1     |1     
223   | 051805                       |1     |1     
224   | 056                          |2     |2     
225   | 06                           |12    |9     
226   | 06.02                        |1     |1     
227   | 06.07                        |2     |1     
228   | 06.09                        |1     |1     
229   | 064                          |1     |1     
230   | 0660                         |1     |1     
231   | 067                          |1     |1     
232   | 0674                         |3     |1     
233   | 07                           |24    |22    
234   | 07.00                        |1     |1     
235   | 07.02                        |3     |3     
236   | 07.04                        |1     |1     
237   | 07.07                        |1     |1     
238   | 0709                         |2     |2     
239   | 071                          |1     |1     
240   | 076                          |2     |2     
241   | 0761                         |2     |2     
242   | 08                           |19    |19    
243   | 08.00                        |2     |1     
244   | 08.04                        |4     |1     
245   | 08.07                        |1     |1     
246   | 080                          |2     |2     
247   | 0810                         |3     |3     
248   | 082                          |2     |2     
249   | 084                          |1     |1     
250   | 088                          |2     |2     
251   | 089                          |1     |1     
252   | 09                           |18    |18    
253   | 09.00                        |2     |2     
254   | 09.02                        |1     |1     
255   | 09.06                        |1     |1     
256   | 090118                       |2     |1     
257   | 095                          |1     |1     
258   | 096                          |1     |1     
259   | 1                            |169   |169   
260   | 1.0                          |8     |6     
261   | 1.000                        |1     |1     
262   | 1.069                        |1     |1     
263   | 1.1                          |2     |1     
264   | 1.172                        |1     |1     
265   | 1.2                          |2     |2     
266   | 1.200                        |2     |2     
267   | 1.235                        |1     |1     
268   | 1.25                         |2     |1     
269   | 1.3                          |6     |6     
270   | 1.4                          |6     |6     
271   | 1.400                        |1     |1     
272   | 1.471                        |1     |1     
273   | 1.5                          |4     |4     
274   | 1.500                        |6     |2     
275   | 1.6                          |3     |3     
276   | 1.600                        |1     |1     
277   | 1.7                          |2     |1     
278   | 1.718                        |1     |1     
279   | 1.8                          |3     |3     
280   | 1.800                        |1     |1     
281   | 1.986                        |1     |1     
282   | 1.996                        |1     |1     
283   | 1.997                        |1     |1     
284   | 10                           |135   |135   
285   | 10.00                        |5     |1     
286   | 10.000                       |1     |1     
287   | 10.02                        |3     |3     
288   | 10.08                        |1     |1     
289   | 10.20                        |1     |1     
290   | 10.273                       |1     |1     
291   | 10.30                        |1     |1     
292   | 10.685                       |1     |1     
293   | 100                          |34    |32    
294   | 1000                         |10    |10    
295   | 10000                        |4     |4     
296   | 100000                       |1     |1     
297   | 1007                         |1     |1     
298   | 1008                         |1     |1     
299   | 101                          |3     |3     
300   | 1010                         |7     |1     
301   | 1013                         |2     |2     
302   | 10192                        |1     |1     
303   | 102                          |7     |7     
304   | 1022                         |2     |2     
305   | 1023                         |1     |1     
306   | 1024                         |6     |6     
307   | 1029                         |3     |2     
308   | 103                          |4     |3     
309   | 1030                         |1     |1     
310   | 1032                         |1     |1     
311   | 1033                         |2     |2     
312   | 1036                         |1     |1     
313   | 1039                         |1     |1     
314   | 104                          |3     |3     
315   | 10413                        |1     |1     
316   | 1042                         |1     |1     
317   | 1046                         |1     |1     
318   | 1049                         |1     |1     
319   | 105                          |3     |3     
320   | 1050                         |3     |2     
321   | 1053                         |1     |1     
322   | 1056                         |2     |2     
323   | 106                          |3     |3     
324   | 1060                         |1     |1     
325   | 1065                         |2     |2     
326   | 1066                         |1     |1     
327   | 1067                         |1     |1     
328   | 1069                         |1     |1     
329   | 107                          |3     |2     
330   | 1073                         |1     |1     
331   | 1075                         |1     |1     
332   | 1078                         |1     |1     
333   | 1079                         |2     |2     
334   | 108                          |6     |4     
335   | 109                          |3     |3     
336   | 1090                         |1     |1     
337   | 1093                         |1     |1     
338   | 11                           |90    |89    
339   | 11.0                         |1     |1     
340   | 11.00                        |2     |2     
341   | 11.000                       |1     |1     
342   | 11.02                        |2     |2     
343   | 11.549                       |1     |1     
344   | 11.723                       |4     |4     
345   | 110                          |9     |9     
346   | 110.000                      |1     |1     
347   | 1109                         |7     |1     
348   | 111                          |4     |2     
349   | 111006                       |1     |1     
350   | 112                          |4     |2     
351   | 1129                         |1     |1     
352   | 113                          |3     |3     
353   | 1130                         |1     |1     
354   | 1131                         |1     |1     
355   | 1137                         |2     |1     
356   | 114                          |2     |2     
357   | 1143                         |2     |2     
358   | 1145                         |1     |1     
359   | 1149                         |1     |1     
360   | 115                          |9     |6     
361   | 1150                         |1     |1     
362   | 116                          |7     |7     
363   | 1164                         |2     |2     
364   | 1168                         |1     |1     
365   | 117                          |4     |4     
366   | 1177                         |1     |1     
367   | 118                          |6     |6     
368   | 1180                         |1     |1     
369   | 1187                         |1     |1     
370   | 119                          |3     |3     
371   | 1194                         |2     |1     
372   | 1195                         |1     |1     
373   | 1196                         |1     |1     
374   | 12                           |100   |100   
375   | 12.0                         |1     |1     
376   | 12.00                        |2     |2     
377   | 12.07                        |1     |1     
378   | 12.12                        |1     |1     
379   | 12.30                        |6     |6     
380   | 120                          |9     |9     
381   | 1200                         |3     |3     
382   | 12000                        |1     |1     
383   | 1207                         |1     |1     
384   | 1209                         |1     |1     
385   | 121                          |2     |2     
386   | 1214                         |1     |1     
387   | 1215                         |1     |1     
388   | 1219                         |1     |1     
389   | 122                          |3     |3     
390   | 1223                         |1     |1     
391   | 123                          |2     |2     
392   | 1230                         |1     |1     
393   | 1231                         |1     |1     
394   | 1234                         |1     |1     
395   | 12345                        |1     |1     
396   | 1235                         |3     |3     
397   | 1239                         |2     |1     
398   | 124                          |5     |5     
399   | 1240                         |2     |2     
400   | 1241                         |1     |1     
401   | 1244                         |1     |1     
402   | 125                          |6     |6     
403   | 1253                         |1     |1     
404   | 1259                         |1     |1     
405   | 126                          |2     |2     
406   | 1262                         |1     |1     
407   | 1266                         |2     |1     
408   | 127                          |4     |4     
409   | 1275                         |1     |1     
410   | 128                          |3     |3     
411   | 1280                         |2     |1     
412   | 1288                         |1     |1     
413   | 1289                         |1     |1     
414   | 129                          |2     |1     
415   | 1290                         |1     |1     
416   | 1292                         |1     |1     
417   | 1293                         |1     |1     
418   | 1296                         |1     |1     
419   | 1298                         |2     |2     
420   | 13                           |77    |75    
421   | 13.00                        |3     |3     
422   | 13.02                        |1     |1     
423   | 13.12                        |1     |1     
424   | 13.229                       |1     |1     
425   | 13.30                        |3     |2     
426   | 130                          |4     |4     
427   | 1300                         |1     |1     
428   | 131                          |5     |5     
429   | 131000                       |1     |1     
430   | 1313                         |1     |1     
431   | 1316                         |2     |2     
432   | 132                          |2     |2     
433   | 13298                        |1     |1     
434   | 133                          |4     |4     
435   | 1332                         |4     |1     
436   | 1335                         |2     |1     
437   | 1338                         |6     |1     
438   | 134                          |4     |4     
439   | 1344                         |1     |1     
440   | 135                          |2     |2     
441   | 1352                         |1     |1     
442   | 1359                         |1     |1     
443   | 136                          |7     |1     
444   | 1362                         |1     |1     
445   | 137                          |3     |1     
446   | 138                          |6     |3     
447   | 1386                         |1     |1     
448   | 139                          |2     |2     
449   | 1399                         |1     |1     
450   | 14                           |84    |84    
451   | 14.00                        |3     |1     
452   | 14.03                        |2     |1     
453   | 14.04                        |1     |1     
454   | 14.30                        |2     |2     
455   | 14.855                       |4     |1     
456   | 140                          |4     |4     
457   | 1400                         |3     |3     
458   | 14040                        |1     |1     
459   | 141                          |2     |2     
460   | 1413                         |3     |1     
461   | 142                          |4     |3     
462   | 1420                         |1     |1     
463   | 143                          |3     |3     
464   | 1439                         |1     |1     
465   | 144                          |3     |3     
466   | 1440                         |1     |1     
467   | 1442                         |1     |1     
468   | 1445                         |1     |1     
469   | 1449                         |1     |1     
470   | 145                          |7     |6     
471   | 1454                         |1     |1     
472   | 1456                         |1     |1     
473   | 146                          |4     |2     
474   | 1460                         |1     |1     
475   | 1462                         |1     |1     
476   | 1468                         |1     |1     
477   | 147                          |4     |4     
478   | 1470                         |1     |1     
479   | 1471                         |1     |1     
480   | 148                          |3     |3     
481   | 149                          |2     |2     
482   | 1499                         |1     |1     
483   | 15                           |85    |84    
484   | 15.00                        |3     |3     
485   | 15.30                        |2     |2     
486   | 150                          |14    |13    
487   | 1500                         |16    |15    
488   | 15000                        |1     |1     
489   | 151                          |3     |3     
490   | 152                          |3     |3     
491   | 1527                         |1     |1     
492   | 153                          |4     |4     
493   | 1531                         |2     |2     
494   | 154                          |2     |1     
495   | 1545                         |2     |2     
496   | 1549                         |1     |1     
497   | 155                          |3     |2     
498   | 1551                         |1     |1     
499   | 15597                        |1     |1     
500   | 156                          |2     |1     
501   | 157                          |2     |2     
502   | 1572                         |1     |1     
503   | 158                          |2     |1     
504   | 1586                         |1     |1     
505   | 159                          |5     |5     
506   | 1590                         |2     |1     
507   | 1595                         |1     |1     
508   | 1596                         |4     |1     
509   | 1597                         |1     |1     
510   | 16                           |75    |75    
511   | 16.00                        |3     |3     
512   | 16.06                        |1     |1     
513   | 16.10                        |1     |1     
514   | 16.30                        |3     |3     
515   | 160                          |6     |6     
516   | 1601                         |1     |1     
517   | 161                          |2     |1     
518   | 1610                         |1     |1     
519   | 1614                         |1     |1     
520   | 1615                         |1     |1     
521   | 162                          |2     |1     
522   | 1622                         |1     |1     
523   | 1623                         |1     |1     
524   | 163                          |3     |3     
525   | 1636                         |1     |1     
526   | 1639                         |1     |1     
527   | 164                          |2     |1     
528   | 1644                         |2     |1     
529   | 1646                         |1     |1     
530   | 165                          |2     |2     
531   | 1650                         |14    |14    
532   | 166                          |2     |2     
533   | 1661                         |1     |1     
534   | 1663                         |2     |1     
535   | 1668                         |1     |1     
536   | 167                          |2     |2     
537   | 168                          |5     |5     
538   | 1686                         |1     |1     
539   | 169                          |2     |2     
540   | 1690                         |1     |1     
541   | 1694                         |2     |2     
542   | 1695                         |1     |1     
543   | 1698                         |1     |1     
544   | 17                           |63    |63    
545   | 17.00                        |4     |4     
546   | 17.05                        |1     |1     
547   | 17.11                        |2     |1     
548   | 170                          |3     |3     
549   | 170.210                      |1     |1     
550   | 1700                         |1     |1     
551   | 1703                         |1     |1     
552   | 1704                         |1     |1     
553   | 171                          |2     |2     
554   | 1710                         |4     |3     
555   | 172                          |3     |1     
556   | 1723                         |1     |1     
557   | 1728                         |1     |1     
558   | 1729                         |1     |1     
559   | 173                          |3     |2     
560   | 1730                         |1     |1     
561   | 1732                         |1     |1     
562   | 1733                         |2     |1     
563   | 1739                         |1     |1     
564   | 174                          |2     |1     
565   | 1740                         |1     |1     
566   | 1742                         |1     |1     
567   | 175                          |3     |3     
568   | 176                          |1     |1     
569   | 1762                         |1     |1     
570   | 1767                         |1     |1     
571   | 17672                        |1     |1     
572   | 1769                         |1     |1     
573   | 177                          |1     |1     
574   | 1772                         |1     |1     
575   | 1773                         |1     |1     
576   | 1776                         |1     |1     
577   | 178                          |1     |1     
578   | 1784                         |1     |1     
579   | 179                          |3     |3     
580   | 1791                         |1     |1     
581   | 1792                         |1     |1     
582   | 1794                         |2     |1     
583   | 18                           |63    |62    
584   | 18.00                        |3     |3     
585   | 18.000                       |1     |1     
586   | 18.30                        |2     |2     
587   | 18.315                       |1     |1     
588   | 18.45                        |1     |1     
589   | 18.761                       |1     |1     
590   | 180                          |5     |5     
591   | 1800                         |1     |1     
592   | 1801                         |1     |1     
593   | 1802                         |1     |1     
594   | 181                          |1     |1     
595   | 1814                         |1     |1     
596   | 182                          |2     |1     
597   | 1821                         |1     |1     
598   | 1826                         |1     |1     
599   | 1827                         |2     |1     
600   | 183                          |3     |3     
601   | 1832                         |1     |1     
602   | 1837                         |2     |1     
603   | 184                          |5     |5     
604   | 1843                         |1     |1     
605   | 1844                         |1     |1     
606   | 1845                         |1     |1     
607   | 1846                         |1     |1     
608   | 185                          |1     |1     
609   | 1850                         |1     |1     
610   | 1854                         |2     |2     
611   | 1859                         |1     |1     
612   | 186                          |2     |2     
613   | 1865                         |1     |1     
614   | 1869                         |3     |3     
615   | 187                          |2     |2     
616   | 1870                         |1     |1     
617   | 1871                         |1     |1     
618   | 1874                         |2     |2     
619   | 1876                         |1     |1     
620   | 1878                         |1     |1     
621   | 1879                         |1     |1     
622   | 188                          |1     |1     
623   | 1880                         |1     |1     
624   | 1885                         |1     |1     
625   | 1888                         |1     |1     
626   | 1889                         |1     |1     
627   | 189                          |1     |1     
628   | 1890                         |1     |1     
629   | 1891                         |2     |2     
630   | 1892                         |1     |1     
631   | 1894                         |1     |1     
632   | 1895                         |2     |1     
633   | 1897                         |4     |2     
634   | 1899                         |1     |1     
635   | 19                           |66    |64    
636   | 19.00                        |5     |5     
637   | 19.084                       |1     |1     
638   | 19.09                        |1     |1     
639   | 19.117                       |2     |2     
640   | 19.12                        |1     |1     
641   | 19.30                        |6     |5     
642   | 190                          |3     |3     
643   | 1900                         |15    |15    
644   | 19000                        |3     |2     
645   | 1902                         |2     |2     
646   | 1903                         |7     |7     
647   | 1904                         |1     |1     
648   | 1905                         |1     |1     
649   | 1906                         |3     |1     
650   | 1908                         |2     |2     
651   | 1909                         |1     |1     
652   | 191                          |3     |3     
653   | 1910                         |2     |2     
654   | 1912                         |5     |3     
655   | 1913                         |3     |2     
656   | 1914                         |5     |2     
657   | 1915                         |2     |2     
658   | 1917                         |2     |2     
659   | 1918                         |2     |2     
660   | 1919                         |1     |1     
661   | 192                          |2     |2     
662   | 192.168                      |1     |1     
663   | 1920                         |3     |2     
664   | 1921                         |2     |2     
665   | 1922                         |1     |1     
666   | 1924                         |2     |2     
667   | 1927                         |1     |1     
668   | 1929                         |1     |1     
669   | 193                          |3     |2     
670   | 1930                         |2     |2     
671   | 1934                         |1     |1     
672   | 1938                         |1     |1     
673   | 1939                         |1     |1     
674   | 194                          |1     |1     
675   | 1940                         |1     |1     
676   | 1941                         |2     |1     
677   | 1944                         |2     |2     
678   | 1945                         |1     |1     
679   | 1948                         |3     |3     
680   | 195                          |2     |2     
681   | 1950                         |3     |3     
682   | 1951                         |1     |1     
683   | 1952                         |2     |1     
684   | 1953                         |1     |1     
685   | 1954                         |2     |2     
686   | 1955                         |1     |1     
687   | 1956                         |2     |2     
688   | 1957                         |2     |2     
689   | 1958                         |3     |3     
690   | 1959                         |4     |4     
691   | 196                          |2     |2     
692   | 1960                         |1     |1     
693   | 1962                         |1     |1     
694   | 1963                         |1     |1     
695   | 1964                         |5     |5     
696   | 1965                         |2     |1     
697   | 1966                         |1     |1     
698   | 1967                         |2     |2     
699   | 1968                         |4     |4     
700   | 1969                         |3     |3     
701   | 197                          |3     |3     
702   | 1970                         |3     |3     
703   | 1971                         |6     |6     
704   | 1972                         |8     |8     
705   | 1973                         |6     |5     
706   | 1974                         |2     |2     
707   | 1975                         |5     |5     
708   | 1976                         |4     |3     
709   | 1977                         |7     |7     
710   | 1978                         |4     |4     
711   | 1979                         |3     |3     
712   | 198                          |3     |3     
713   | 1980                         |6     |6     
714   | 19807                        |1     |1     
715   | 1981                         |3     |2     
716   | 1982                         |2     |2     
717   | 1983                         |5     |5     
718   | 198315                       |1     |1     
719   | 1984                         |7     |7     
720   | 1985                         |5     |5     
721   | 1986                         |7     |7     
722   | 1987                         |10    |6     
723   | 1988                         |2     |2     
724   | 1989                         |9     |9     
725   | 1990                         |9     |8     
726   | 1991                         |12    |11    
727   | 19913                        |1     |1     
728   | 1992                         |6     |6     
729   | 1993                         |11    |11    
730   | 1994                         |14    |12    
731   | 1995                         |14    |10    
732   | 1996                         |19    |17    
733   | 1997                         |19    |12    
734   | 1998                         |12    |12    
735   | 1999                         |16    |14    
736   | 2                            |139   |139   
737   | 2.0                          |14    |13    
738   | 2.000                        |2     |2     
739   | 2.001                        |1     |1     
740   | 2.008                        |1     |1     
741   | 2.009                        |1     |1     
742   | 2.010                        |1     |1     
743   | 2.011                        |2     |2     
744   | 2.012                        |1     |1     
745   | 2.1                          |3     |2     
746   | 2.10                         |2     |1     
747   | 2.11                         |1     |1     
748   | 2.12                         |2     |1     
749   | 2.2                          |5     |3     
750   | 2.243                        |1     |1     
751   | 2.3                          |3     |3     
752   | 2.300                        |1     |1     
753   | 2.4                          |2     |2     
754   | 2.5                          |5     |5     
755   | 2.500                        |2     |1     
756   | 2.6                          |2     |2     
757   | 2.643                        |1     |1     
758   | 2.7                          |4     |3     
759   | 2.709                        |1     |1     
760   | 2.8                          |3     |1     
761   | 2.800                        |1     |1     
762   | 2.9                          |4     |3     
763   | 20                           |79    |76    
764   | 20.00                        |2     |2     
765   | 20.000                       |1     |1     
766   | 20.05                        |1     |1     
767   | 20.09                        |1     |1     
768   | 20.30                        |2     |2     
769   | 20.366                       |1     |1     
770   | 20.367                       |1     |1     
771   | 200                          |20    |20    
772   | 2000                         |24    |24    
773   | 2001                         |16    |16    
774   | 2002                         |14    |14    
775   | 2003                         |29    |29    
776   | 20031                        |1     |1     
777   | 2004                         |22    |22    
778   | 2005                         |30    |30    
779   | 2006                         |33    |33    
780   | 2007                         |47    |46    
781   | 2008                         |46    |45    
782   | 2009                         |59    |58    
783   | 201                          |1     |1     
784   | 2010                         |83    |78    
785   | 201018                       |1     |1     
786   | 2011                         |141   |139   
787   | 20111                        |1     |1     
788   | 2012                         |158   |158   
789   | 201201                       |1     |1     
790   | 20121                        |1     |1     
791   | 201214                       |1     |1     
792   | 2013                         |4     |4     
793   | 2014                         |15    |1     
794   | 2015                         |19    |1     
795   | 2016                         |17    |1     
796   | 2017                         |1     |1     
797   | 202                          |3     |3     
798   | 2020                         |1     |1     
799   | 203                          |2     |2     
800   | 2030                         |1     |1     
801   | 2033                         |1     |1     
802   | 2036                         |1     |1     
803   | 204                          |4     |4     
804   | 2047                         |1     |1     
805   | 205                          |5     |5     
806   | 2050                         |1     |1     
807   | 2054                         |1     |1     
808   | 2059                         |2     |2     
809   | 206                          |2     |2     
810   | 2060                         |1     |1     
811   | 207                          |1     |1     
812   | 2074                         |1     |1     
813   | 208                          |1     |1     
814   | 2082                         |1     |1     
815   | 2084                         |1     |1     
816   | 20889                        |1     |1     
817   | 209                          |3     |3     
818   | 2097                         |1     |1     
819   | 2099                         |1     |1     
820   | 21                           |67    |66    
821   | 21.00                        |3     |1     
822   | 210                          |5     |4     
823   | 211                          |2     |2     
824   | 2111                         |1     |1     
825   | 2113                         |1     |1     
826   | 212                          |1     |1     
827   | 2120                         |1     |1     
828   | 213                          |3     |3     
829   | 2131                         |2     |2     
830   | 214                          |3     |3     
831   | 215                          |2     |2     
832   | 216                          |3     |2     
833   | 217                          |2     |2     
834   | 2177                         |6     |1     
835   | 218                          |1     |1     
836   | 219                          |3     |3     
837   | 22                           |74    |73    
838   | 22.02                        |1     |1     
839   | 22.173                       |1     |1     
840   | 220                          |7     |7     
841   | 2202                         |1     |1     
842   | 2204                         |1     |1     
843   | 2206                         |1     |1     
844   | 221                          |18    |4     
845   | 2213                         |1     |1     
846   | 222                          |1     |1     
847   | 223                          |3     |3     
848   | 2232                         |1     |1     
849   | 2233                         |1     |1     
850   | 224                          |3     |3     
851   | 225                          |2     |2     
852   | 2254                         |1     |1     
853   | 2255                         |2     |1     
854   | 2256                         |1     |1     
855   | 2258                         |1     |1     
856   | 226                          |1     |1     
857   | 227                          |1     |1     
858   | 2273                         |1     |1     
859   | 228                          |2     |2     
860   | 2287                         |1     |1     
861   | 229                          |3     |3     
862   | 2290                         |1     |1     
863   | 2291                         |1     |1     
